,Cuarto 1,,Cuarto 2,,Cuarto 3,,Cuarto 4,,Cuarto 5,,Cuarto 6,
,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
1,84,563,62,275,49,55,27,75,52,89,70,38
2,301,645,201,185,190,112,206,41,314,156,308,40
3,488,547,100,71,407,36,316,137,489,64,522,54
4,309,452,219,42,552,107,523,57,684,145,698,36
5,113,374,421,45,587,188,146,197,902,99,213,126
6,513,383,642,111,400,261,48,206,903,228,455,127
7,582,260,477,214,195,209,44,373,732,261,620,127
8,233,277,333,204,50,369,138,350,471,262,829,202
9,110,157,264,302,110,469,279,300,104,225,143,232
10,360,158,168,372,71,642,422,262,91,416,388,245
11,593,141,230,462,182,505,630,206,293,383,540,253
12,475,83,194,589,213,354,591,350,465,396,704,228
13,230,88,409,616,339,430,419,424,645,382,63,380
14,97,47,459,492,298,580,284,465,927,386,258,368
15,364,20,356,387,432,649,173,499,153,546,715,308
16,,,498,373,532,559,137,583,318,586,469,378
17,,,441,276,422,482,244,640,481,544,52,510
18,,,637,306,427,335,417,584,653,598,288,579
19,,,665,514,585,351,547,634,767,546,529,507
20,,,597,608,584,488,629,531,900,556,721,535
